web-scraper-order,web-scraper-start-url,rest-link,rest-link-href,shopname,cuisine,item_name,item_desc,product_img,item_price,shop_rating,shop_address,shop_period
"1622613099-660","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","from  S$ 6.60","4.1/5","null","null"
"1622613099-559","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","from  S$ 5.90","4.1/5","null","null"
"1622613099-633","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","from  S$ 5.90","4.1/5","null","null"
"1622613099-550","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","background-image: url(""https://images.deliveryhero.io/image/fd-sg/pos-import-images/chainCode-cj0sl/product/a9511cdcec8c3911079555d7a16a69e8.jpg?width=200"");","","4.1/5","null","null"
"1622613153-946","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Bober Tea (442 Clementi)4.7/5 (409)$$$BeveragesTea Time pandapro perksFree deliveryPRO - Free Delivery!20min","https://www.foodpanda.sg/restaurant/q9mv/bober-tea-442-clementi","Bober Tea (442 Clementi)","","","","","from  S$ 5.80","4.7/5","null","null"
"1622613099-444","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","(01-16) Mango/+ Milk","","","","4.1/5","null","null"
"1622613090-287","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","R&B Tea (Clementi Mall)4.7/5 (234)$$$BeveragesTea TimeDeals near youMonthly DealsS$ 2.19 Delivery feeDiscount 35%20min","https://www.foodpanda.sg/restaurant/i8nr/randb-tea-clementi-mall","R&B Tea (Clementi Mall)","","Brown Sugar Boba Milk","","","","4.7/5","null","null"
"1622613082-30","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","i.Tea (Clementi)4.5/5 (1k+)$$$BeveragesSingaporeanS$ 2.19 Delivery fee20min","https://www.foodpanda.sg/restaurant/w5vl/i-tea-clementi","i.Tea (Clementi)","","Golden Oolong Tea","","","","4.5/5","null","null"
"1622613099-527","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","(01-20) Char Siew Rice","","","","4.1/5","null","null"
"1622613099-427","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","(01-08) Sesame Oil Chicken","","","","4.1/5","null","null"
"1622613090-317","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","R&B Tea (Clementi Mall)4.7/5 (234)$$$BeveragesTea TimeDeals near youMonthly DealsS$ 2.19 Delivery feeDiscount 35%20min","https://www.foodpanda.sg/restaurant/i8nr/randb-tea-clementi-mall","R&B Tea (Clementi Mall)","","","Top pick","","","4.7/5","null","null"
"1622613099-478","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","(01-24) Sugarcane Drink","","","","4.1/5","null","null"
"1622613082-101","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","i.Tea (Clementi)4.5/5 (1k+)$$$BeveragesSingaporeanS$ 2.19 Delivery fee20min","https://www.foodpanda.sg/restaurant/w5vl/i-tea-clementi","i.Tea (Clementi)","","","","background-image: url(""https://images.deliveryhero.io/image/fd-sg/pos-import-images/chainCode-cl2bb/product/pearlmilktea.jpg?width=200"");","","4.5/5","null","null"
"1622613099-419","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","(01-47) Fried Fish Soup","","","","4.1/5","null","null"
"1622613099-679","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","from  S$ 6.20","4.1/5","null","null"
"1622613099-576","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","S$ 3.80","4.1/5","null","null"
"1622613153-863","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Bober Tea (442 Clementi)4.7/5 (409)$$$BeveragesTea Time pandapro perksFree deliveryPRO - Free Delivery!20min","https://www.foodpanda.sg/restaurant/q9mv/bober-tea-442-clementi","Bober Tea (442 Clementi)","","","Sweet, rich, and creamy taro combines with classic milk for an amazing and colorfully purple drink hugely popular all over Asia.  (NO PEARLS INCLUDED)","","","4.7/5","null","null"
"1622613082-104","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","i.Tea (Clementi)4.5/5 (1k+)$$$BeveragesSingaporeanS$ 2.19 Delivery fee20min","https://www.foodpanda.sg/restaurant/w5vl/i-tea-clementi","i.Tea (Clementi)","","","","","from  S$ 3.20","4.5/5","null","null"
"1622613082-142","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","i.Tea (Clementi)4.5/5 (1k+)$$$BeveragesSingaporeanS$ 2.19 Delivery fee20min","https://www.foodpanda.sg/restaurant/w5vl/i-tea-clementi","i.Tea (Clementi)","","","","","from  S$ 2.40","4.5/5","null","null"
"1622613086-236","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Ibrahim Rojak4.5/5 (10)$$$AsianChickenS$ 2.19 Delivery fee20min","https://www.foodpanda.sg/restaurant/m3uj/ibrahim-rojak","Ibrahim Rojak","","","","","S$ 1.80","4.5/5","null","null"
"1622613082-17","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","i.Tea (Clementi)4.5/5 (1k+)$$$BeveragesSingaporeanS$ 2.19 Delivery fee20min","https://www.foodpanda.sg/restaurant/w5vl/i-tea-clementi","i.Tea (Clementi)","","Ice Cream Milk Tea","","","","4.5/5","null","null"
"1622613099-670","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","S$ 8.70","4.1/5","null","null"
"1622613099-612","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","S$ 2.30","4.1/5","null","null"
"1622613090-282","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","R&B Tea (Clementi Mall)4.7/5 (234)$$$BeveragesTea TimeDeals near youMonthly DealsS$ 2.19 Delivery feeDiscount 35%20min","https://www.foodpanda.sg/restaurant/i8nr/randb-tea-clementi-mall","R&B Tea (Clementi Mall)","","Strawberry Ice Blended","","","","4.7/5","null","null"
"1622613099-590","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Hawker - Clementi 448 Market & Food Centre4.1/5 (411)$$$SingaporeanLunchDinnerHawker FavouritesHawker CentresMix & MatchFree deliveryFree DeliveryMix & Match - Hawker Centre25min","https://www.foodpanda.sg/restaurant/x0jz/hawker-clementi-448-market-and-food-centre","Hawker - Clementi 448 Market & Food Centre","","","","","from  S$ 8","4.1/5","null","null"
