web-scraper-order,web-scraper-start-url,rest-link,rest-link-href,shopname,cuisine,item_name,item_desc,product_img,item_price,shop_rating,shop_address,shop_period
"1622642182-6828","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery1.6/5 (3)$$$IndianWrapsBeveragesRice DishesMonthly DealsS$ 6 Delivery feeDiscount 15%Featured60min","https://www.foodpanda.sg/restaurant/eq68/brits-indian-kebab-and-grill-corner-restaurant-delivery","Brit’s Indian Kebab and Grill Corner - Restaurant Delivery","","","","","S$ 15.21S$ 17.90","1.6/5","null","null"
"1622642122-2173","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Haq-Insaf's Eating House4.4/5 (878)$$$IndianNoodlesBeveragesS$ 2.19 Delivery fee30min","https://www.foodpanda.sg/restaurant/x3ox/haq-insaf-s-eating-house","Haq-Insaf's Eating House","","Beef Soup","","","","4.5/5","null","null"
"1622642189-7393","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Khansama Tandoori Village (Science Park) - Restaurant Delivery4.3/5 (572)$$$IndianAlcoholVeganSoupsSnacksRice DishesLate Night DeliveryBBQTea TimeLunchDinnerS$ 5 Delivery feeFeaturedRestaurant Delivery60min","https://www.foodpanda.sg/restaurant/x3qv/khansama-tandoori-village-science-park-restaurant-delivery","Khansama Tandoori Village (Science Park) - Restaurant Delivery","","Ginger Ale","","","","4.3/5","null","null"
"1622642064-189","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Udders Pancakes And Ice Cream - Islandwide Delivery4.9/5 (12)$$$DessertIslandwide DeliveryDeals near youMonthly DealsS$ 5.99 Delivery feeDiscount 30%Islandwide Delivery30min","https://www.foodpanda.sg/restaurant/rt5l/udders-pancakes-and-ice-cream-islandwide-delivery","Udders Pancakes And Ice Cream - Islandwide Delivery","","Alphonso Mango and Kaffir Lime Sorbet","","","","4.9/5","null","null"
"1622642082-931","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Kimly Dim Sum (Clementi)4.4/5 (1k+)$$$ChineseSingaporeanAsianLunchDinnerDim SumBreakfastS$ 2.69 Delivery fee25min","https://www.foodpanda.sg/restaurant/v0hf/kimly-dim-sum-clementi","Kimly Dim Sum (Clementi)","","","","","S$ 1.30","4.4/5","null","null"
"1622642189-7602","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Khansama Tandoori Village (Science Park) - Restaurant Delivery4.3/5 (572)$$$IndianAlcoholVeganSoupsSnacksRice DishesLate Night DeliveryBBQTea TimeLunchDinnerS$ 5 Delivery feeFeaturedRestaurant Delivery60min","https://www.foodpanda.sg/restaurant/x3qv/khansama-tandoori-village-science-park-restaurant-delivery","Khansama Tandoori Village (Science Park) - Restaurant Delivery","","","","","S$ 4.28","4.3/5","null","null"
"1622642122-2397","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Haq-Insaf's Eating House4.4/5 (878)$$$IndianNoodlesBeveragesS$ 2.19 Delivery fee30min","https://www.foodpanda.sg/restaurant/x3ox/haq-insaf-s-eating-house","Haq-Insaf's Eating House","","","","","S$ 5.40","4.5/5","null","null"
"1622642167-5664","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Prata Alley4.5/5 (3k+)$$$IndianSingaporeanWestern pandapro perksMuslimFree deliveryFree Delivery!30min","https://www.foodpanda.sg/restaurant/s7pk/prata-alley","Prata Alley","","Plain Naan","","","","4.6/5","null","null"
"1622642167-5657","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","Prata Alley4.5/5 (3k+)$$$IndianSingaporeanWestern pandapro perksMuslimFree deliveryFree Delivery!30min","https://www.foodpanda.sg/restaurant/s7pk/prata-alley","Prata Alley","","Tulang Merah","","","","4.6/5","null","null"
"1622642134-3136","https://www.foodpanda.sg/restaurants/new?lat=1.3143209&lng=103.7565747&vertical=restaurants","LiHO TEA (West Coast Plaza)4.7/5 (612)$$$BeveragesTea TimeBubble TeaEveryday FavouritesPickup FavouritesS$ 3.49 Delivery fee25min","https://www.foodpanda.sg/restaurant/x3ru/liho-tea-west-coast-plaza","LiHO TEA (West Coast Plaza)","","Salted Caramel Milk Coffee","","","","4.7/5","null","null"
